narod,narod-cesky,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Республика Карелия,Республика Коми,Архангельская область,Ненецкий автономный округ,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия – Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский автономный округ – Югра,Ямало-Ненецкий автономный округ,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
Нанайцы,Nanai,NA,1,3,1,NA,1,NA,4,NA,7,NA,8,NA,NA,4,NA,1,10,NA,NA,1,NA,1,NA,4,NA,NA,NA,21,NA,4,11,1,1,4,NA,NA,1,NA,NA,NA,10,7,NA,NA,3,1,NA,2,NA,7,3,NA,2,NA,1,NA,1,12,6,3,2,5,11,3,NA,4,10,13,10,4,10,5,4,42,69,383,11009,25,7,148,95,6
Пакистанцы,Pákistánci,NA,7,1,11,22,4,NA,2,16,46,NA,3,2,NA,1,10,5,112,1,2,NA,NA,NA,3,5,NA,2,1,45,NA,NA,16,5,6,9,11,NA,2,4,8,3,8,NA,1,21,32,4,8,4,NA,8,4,5,8,4,3,NA,1,3,NA,2,5,NA,NA,NA,1,3,1,3,4,NA,6,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA
Аджарцы,Ajarians,NA,1,NA,4,NA,NA,NA,NA,NA,8,3,NA,NA,1,1,2,NA,56,NA,1,NA,NA,NA,NA,2,NA,NA,1,7,4,1,44,NA,3,13,7,NA,2,1,3,1,4,2,NA,NA,NA,1,NA,5,NA,2,2,NA,11,1,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,1,3,1,NA,1,5,1,NA,2,NA,NA,NA,NA,NA,NA
Селькупы,Selkups,NA,2,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,1,NA,1,1,15,NA,NA,7,NA,2,1,NA,NA,NA,NA,NA,2,2,NA,1,1,NA,3,1,5,2,1,2,NA,NA,1,NA,2,10,2065,27,1988,NA,NA,1,NA,3,NA,2,281,4,10,18,3,1181,2,NA,NA,2,NA,NA,NA,1,NA
Эскимосы,Huskies,NA,NA,1,5,NA,NA,NA,1,1,3,NA,NA,2,2,NA,NA,1,15,NA,NA,NA,NA,3,2,3,1,1,NA,10,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,5,NA,10,6,3,3,13,4,11,14,8,20,4,33,2,5,1529
Дидойцы,Tsez lidé,NA,NA,2,NA,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,6,4,1,NA,NA,11623,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,1,7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Крымчаки,Krimchaks,NA,NA,1,NA,NA,2,NA,NA,NA,4,1,NA,1,NA,NA,1,NA,20,NA,NA,NA,NA,1,NA,NA,1,NA,NA,6,NA,NA,35,NA,NA,2,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Тазы,Umyvadla,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,253,1,3,1,4,NA,NA
Кряшены,Kryashens,NA,NA,1,NA,NA,1,1,NA,1,31,NA,1,2,NA,3,2,1,42,1,1,NA,NA,1,5,2,6,2,NA,12,NA,NA,6,1,3,7,NA,NA,2,1,NA,NA,2,3801,14,NA,29962,482,7,21,82,11,19,1,24,1,5,NA,16,73,63,5,34,NA,1,1,1,1,1,81,6,17,2,NA,6,3,2,4,2,NA,NA,3,NA,NA
Бесермяне,Besermyan,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,6,NA,1,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,2111,NA,15,4,2,1,NA,1,2,NA,NA,19,5,4,NA,1,NA,NA,NA,NA,NA,NA,6,2,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
Мордва-мокша,Mordvinians-Mókša,NA,NA,10,2,1,5,1,NA,NA,87,1,11,NA,NA,5,NA,3,94,2,5,1,NA,NA,3,3,3,NA,NA,12,NA,NA,10,NA,5,6,NA,NA,1,1,NA,NA,NA,13,1,4178,13,3,4,10,2,22,21,25,85,11,16,1,7,5,2,1,26,NA,1,NA,3,9,NA,8,3,7,4,3,2,1,NA,3,6,1,NA,1,NA,NA
Карагаши,Karagash,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Орочи,Orochi,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,1,NA,1,2,19,441,1,76,28,2,4
Памирцы,Pamirs,NA,NA,3,NA,2,1,1,1,3,64,NA,7,2,1,1,5,1,96,NA,1,NA,NA,1,2,6,1,NA,NA,17,NA,1,13,1,11,2,NA,NA,1,2,1,NA,1,1,2,NA,6,NA,2,1,4,8,6,NA,15,1,NA,NA,27,3,2,1,2,NA,NA,NA,NA,4,NA,3,1,10,3,1,NA,NA,2,6,1,5,NA,NA,NA,NA
Поморы,Pomorové,NA,NA,NA,3,2,2,3,1,NA,25,NA,NA,3,NA,5,NA,4,54,504,25,2015,7,3,NA,5,235,4,4,48,NA,NA,8,NA,10,8,NA,NA,NA,NA,NA,NA,6,2,NA,NA,1,6,1,5,NA,NA,NA,NA,4,2,1,2,9,3,1,NA,3,NA,58,NA,NA,NA,NA,19,5,2,1,2,1,1,NA,1,4,NA,NA,3,NA,NA
Удэгейцы,Udehejské,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,2,NA,2,1,NA,NA,1,2,1,1,2,2,2,6,10,793,620,2,1,9,8,NA
Хемшилы,Hemshils,NA,NA,NA,265,NA,NA,NA,NA,NA,13,NA,2,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,5,NA,1414,NA,NA,306,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,4,NA,13,NA,NA,NA,NA,NA,NA,1,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Нганасаны,Nganasans,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807,1,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA
Черногорцы,Černohorci,NA,NA,NA,2,NA,NA,2,NA,NA,12,NA,NA,NA,1,NA,1,NA,89,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,1,NA,4,NA,NA,NA,NA,3,2,NA,NA,2,2,1,1,4,NA,NA,NA,1,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Чеченцы-аккинцы,Akkin Čečenci,NA,NA,NA,1,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,2,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,15,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Коми-ижемцы,Komi Izhma,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,2,NA,4,NA,NA,5,NA,5725,1,1,NA,NA,2,472,NA,2,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,164,50,108,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Чуванцы,Chuvans,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,5,NA,NA,2,1,NA,3,6,1,8,1,57,1,1,897
Ижорцы,Ižorové,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,7,19,2,1,NA,NA,2,169,4,3,2,37,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Каратинцы,Karata lidé,NA,NA,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,4761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Осетины-иронцы,Ossets,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Алеуты,Aleuts,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,2,1,14,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,NA,2,1,1,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,5,NA,1,1,NA,1,3,2,401,4,4,3,5,1,2,1
Ульчи,Ulchi,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,1,5,2,3,NA,NA,10,NA,1,NA,3,5,2,4,5,2,3,12,14,19,2621,4,5,4,19,2
Кеты,Kamarád,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,4,1,NA,1,1,1,NA,2,2,NA,1,8,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,1,1,NA,1,1,1,1,4,26,12,9,2,NA,1,2,8,6,4,957,4,4,6,2,141,3,NA,1,1,2,NA,1,1,1
Телеуты,Teleuts,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,2,NA,37,1,2,1,19,3,5,NA,2520,14,1,16,13,1,NA,NA,NA,NA,NA,NA,NA
Ингилойцы,Ingiloys,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Сибирские татары,Sibiřské Tataři,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,6,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,6676,52,18,1,NA,NA,NA,NA,NA,1,8,NA,5,NA,58,2,NA,NA,NA,2,NA,NA,NA,NA,NA
Челканцы,Chelkans,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1113,6,2,1,19,1,4,1,4,7,1,3,NA,NA,1,3,NA,NA,NA,1,NA
Кубачинцы,Kubachins,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,101,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Горные марийцы,Mountain Mari,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23502,NA,3,1,24,NA,1,6,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA
Водь,Vod,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,33,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Кереки,Kerek,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Цыгане среднеазиатские,Roma Central Asian,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Лугово-восточные марийцы,Meadow-Eastern Mari,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Чулымцы,Chulyms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,2,1,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA
Негидальцы,Negidals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,5,480,NA,NA,2,7,NA
Сету (сето),Seto (Seto),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,4,NA,NA,123,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,75,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Сваны,Swans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,8,NA,1,5,NA,NA,6,7,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Шапсуги,Shapsugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,3839,NA,NA,8,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ахвахцы,Akhvakh lidé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Теленгиты,Telengits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3648,2,NA,2,19,NA,NA,NA,2,17,1,11,NA,NA,3,2,NA,NA,NA,NA,1
Бежтинцы,Bezhta lidé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Арчинцы,Archi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Багулалы,Bagvalal lidé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Курманч,Kurmanches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Осетины-дигорцы,Osetinci Digorians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,7,NA,197,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Грузинские евреи,Gruzínské Židé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Черкесогаи,Cherkesogai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Среднеазиатские евреи,Střední Asie Židé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Уйльта (ороки),Uilta (ÖROK),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,1,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,7,1,1,259,NA,NA
